Drone ID,Start Time,End Time,Total Time (minutes),Total Distance (km),Number of Alerts,Cities Passed
18424,2023-12-19 15:31:00,2023-12-19 15:31:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18463,2023-12-21 12:13:00,2023-12-21 12:13:00,0.0,16.900182168977153,6,"['דפנה', 'הגושרים', ""ע'ג'ר"", 'קיבוץ דן', 'שאר ישוב', 'שניר']"
18521,2023-12-21 20:38:00,2023-12-21 20:38:00,0.0,7.657037385058114,3,"['אביבים', 'ברעם', 'יראון']"
18539,2023-12-23 14:39:00,2023-12-23 14:39:00,0.0,33.165587788099884,5,"['יפתח', 'רמות נפתלי', 'מרכז אזורי מבואות חרמון', 'מלכיה', 'דישון']"
18557,2023-12-24 02:44:00,2023-12-24 02:44:00,0.0,8.696015105292721,3,"[""דוב''ב"", 'מתת', 'סאסא']"
18604,2023-12-25 21:45:00,2023-12-25 21:45:00,0.0,28.98543342138868,7,"['איילת השחר', 'גדות', 'חולתה', 'יסוד המעלה', 'משמר הירדן', 'עמוקה', 'שדה אליעזר']"
18638,2023-12-28 09:17:00,2023-12-28 09:17:00,0.0,7.814725786629763,4,"['אבן מנחם', 'זרעית', 'שומרה', 'שתולה']"
18649,2023-12-28 14:05:00,2023-12-28 14:05:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18651,2023-12-28 14:08:00,2023-12-28 14:08:00,0.0,17.71504711957332,6,"['הגושרים', ""ע'ג'ר"", 'דפנה', 'קיבוץ דן', 'שניר', 'שאר ישוב']"
18653,2023-12-28 15:32:00,2023-12-28 15:32:00,0.0,27.537926149245664,7,"[""מג'דל שמס"", 'מסעדה', ""נווה אטי''ב"", 'נמרוד', 'עין קנייא', 'קלע', 'שעל']"
18675,2023-12-29 10:22:00,2023-12-29 10:23:00,1.0,65.22171296247583,16,"['תל חי', 'מרגליות', 'משגב עם', 'כפר יובל', 'מעיין ברוך', 'מנרה', 'מטולה', 'כפר גלעדי', 'בית הלל', 'קריית שמונה', 'דפנה', 'הגושרים', ""ע'ג'ר"", 'קיבוץ דן', 'שאר ישוב', 'שניר']"
18685,2023-12-29 14:35:00,2023-12-29 14:35:00,0.0,39.51615163325526,5,"['דישון', 'יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי']"
18690,2023-12-29 14:51:00,2023-12-29 14:51:00,0.0,30.135301952528135,7,"['ערב אל עראמשה', 'יערה', 'גורנות הגליל', 'אדמית', 'גורן', 'חניתה', 'אילון']"
18700,2023-12-29 16:05:00,2023-12-29 16:06:00,1.0,140.54016799851823,20,"['ברעם', 'אביבים', 'יראון', 'משמר הירדן', 'יסוד המעלה', 'חולתה', 'גדות', 'איילת השחר', 'רמות נפתלי', 'ריחאנייה', 'מרכז אזורי מבואות חרמון', 'עמוקה', 'מלכיה', 'כרם בן זמרה', 'יפתח', 'דלתון', 'דישון', 'אזור תעשייה רמת דלתון', 'עלמה', 'שדה אליעזר']"
18712,2023-12-30 13:51:00,2023-12-30 13:51:00,0.0,17.71504711957332,6,"['הגושרים', ""ע'ג'ר"", 'דפנה', 'קיבוץ דן', 'שניר', 'שאר ישוב']"
18720,2023-12-31 20:05:00,2023-12-31 20:05:00,0.0,0.0,1,['קשת']
18722,2023-12-31 20:14:00,2023-12-31 20:14:00,0.0,0.0,1,['קצרין']
18761,2024-01-01 11:56:00,2024-01-01 11:56:00,0.0,35.54798869905737,8,"['אביבים', 'אזור תעשייה רמת דלתון', 'ברעם', 'דלתון', 'יראון', 'כרם בן זמרה', 'עלמה', 'ריחאנייה']"
18767,2024-01-01 15:34:00,2024-01-01 15:34:00,0.0,95.17050615143374,13,"['אביבים', 'אזור תעשייה רמת דלתון', 'ברעם', 'דישון', 'דלתון', 'יפתח', 'יראון', 'כרם בן זמרה', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'עלמה', 'ריחאנייה', 'רמות נפתלי']"
18773,2024-01-02 11:20:00,2024-01-02 11:20:00,0.0,37.49142543556964,5,"['יפתח', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'רמות נפתלי', 'דישון']"
18843,2024-01-06 08:04:00,2024-01-06 08:04:00,0.0,18.726210612130636,8,"['אבירים', 'פסוטה', 'אלקוש', 'נטועה', 'אבן מנחם', 'זרעית', 'שומרה', 'שתולה']"
18851,2024-01-06 08:06:00,2024-01-06 08:07:00,1.0,1048.536349889649,84,"['אביבים', 'צוריאל', 'צבעון', 'פקיעין', 'עלמה', 'סאסא', 'מתת', 'כרם בן זמרה', 'ריחאנייה', 'חורפיש', 'דלתון', ""דוב''ב"", 'ברעם', 'בית ספר שדה מירון', 'אזור תעשייה רמת דלתון', 'יראון', 'אבן מנחם', 'אבירים', 'מעלות תרשיחא', 'מעיליא', 'מעונה', 'כפר ורדים', 'מנחת מחניים', 'הילה', 'אלמגור', 'שפר', 'שדה אליעזר', 'קדיתא', 'אדמית', 'חוסן', 'אילון', 'יערה', 'גורן', 'פסוטה', 'ערב אל עראמשה', 'עין יעקב', 'עבדון', 'נטועה', 'נווה זיו', 'אלקוש', 'מנות', 'פרוד', 'יחיעם', 'חניתה', 'זרעית', 'געתון', 'גורנות הגליל', 'כברי', 'עמוקה', 'בר יוחאי', 'משמר הירדן', 'אזור תעשייה חצור הגלילית', 'אליפלט', 'אמנון', 'ביריה', ""בית ג'אן"", 'הר-חלוץ', 'חצור הגלילית', 'חרשים', 'כורזים ורד הגליל', 'כפר הנשיא', 'כרכום', 'כרמיאל', 'לבון', ""מג'דל כרום"", 'מחניים', 'נחף', ""סאג'ור"", 'מרכז אזורי מרום גליל', 'מירון', 'יסוד המעלה', 'חולתה', 'גדות', 'שומרה', 'עין כמונים', 'איילת השחר', 'ראש פינה', 'ראמה', 'צפת', 'צורית גילון', 'עמיעד', 'עין אל אסד', 'אור הגנוז', 'שתולה']"
18857,2024-01-06 09:10:00,2024-01-06 09:10:00,0.0,256.9828618205747,29,"['בית הלל', 'שדה נחמיה', 'שאר ישוב', 'רמות נפתלי', 'קיבוץ דן', 'עמיר', ""ע'ג'ר"", 'נאות מרדכי', 'מרכז אזורי מבואות חרמון', 'מלכיה', 'להבות הבשן', 'כפר סאלד', 'כפר בלום', 'שמיר', 'יפתח', 'דפנה', 'דישון', 'גונן', 'תל חי', 'קריית שמונה', 'משגב עם', 'מרגליות', 'מעיין ברוך', 'מנרה', 'מטולה', 'כפר יובל', 'כפר גלעדי', 'הגושרים', 'שניר']"
18859,2024-01-06 09:13:00,2024-01-06 09:13:00,0.0,24.4409160705187,8,"['אודם', 'אל רום', 'בוקעתא', ""מג'דל שמס"", 'מסעדה', ""נווה אטי''ב"", 'נמרוד', 'עין קנייא']"
18863,2024-01-06 13:39:00,2024-01-06 13:39:00,0.0,81.76512717284221,13,"['אדמית', 'אזור תעשייה אכזיב מילואות', 'אילון', 'בצת', 'גורן', 'גורנות הגליל', 'חניתה', 'יערה', 'לימן', 'מצובה', 'ערב אל עראמשה', 'ראש הנקרה', 'שלומי']"
18867,2024-01-06 14:04:00,2024-01-06 14:04:00,0.0,24.025817694779782,5,"['חמת גדר', 'האון', 'עין גב', 'תל קציר', 'המכללה האקדמית כנרת']"
18869,2024-01-06 14:55:00,2024-01-06 14:55:00,0.0,9.624633518999948,4,"['אבירים', 'אלקוש', 'נטועה', 'פסוטה']"
18896,2024-01-08 13:44:00,2024-01-08 13:44:00,0.0,43.25562721090473,10,"['בית הלל', 'כפר גלעדי', 'כפר יובל', 'מטולה', 'מנרה', 'מעיין ברוך', 'מרגליות', 'משגב עם', 'קריית שמונה', 'תל חי']"
18900,2024-01-08 14:35:00,2024-01-08 14:35:00,0.0,95.17050615143374,13,"['אביבים', 'אזור תעשייה רמת דלתון', 'ברעם', 'דישון', 'דלתון', 'יפתח', 'יראון', 'כרם בן זמרה', 'מלכיה', 'מרכז אזורי מבואות חרמון', 'עלמה', 'ריחאנייה', 'רמות נפתלי']"
18902,2024-01-08 15:18:00,2024-01-08 15:18:00,0.0,33.165587788099884,5,"['יפתח', 'רמות נפתלי', 'מרכז אזורי מבואות חרמון', 'מלכיה', 'דישון']"
